"miRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"hsa-miR-301a-3p",820.180427900898,1.79261333702565,0.145251419953395,12.3414513785877,5.41704867687765e-35,3.08230069714338e-32,"Up"
"hsa-miR-421",790.227741258369,1.76518809628751,0.145689513296024,12.1160957734882,8.67963002884133e-34,2.46935474320536e-31,"Up"
"hsa-miR-139-5p",5554.39725867924,-2.19653480857282,0.186124980121185,-11.8013971426225,3.83884229248665e-32,7.28100421474968e-30,"Down"
"hsa-miR-3200-3p",53.9540834618571,3.03674052326804,0.259105402027571,11.7200973021199,1.0055643518415e-31,1.43041529049453e-29,"Up"
"hsa-miR-183-5p",2494.48433458969,2.9430815392838,0.251747281215601,11.6906189614945,1.42345403881925e-31,1.61989069617631e-29,"Up"
"hsa-miR-501-5p",71.7139952010081,2.14154710536495,0.189477547332269,11.3023792819606,1.27710243808303e-29,1.2111188121154e-27,"Up"
"hsa-miR-1269a",616.388466280861,5.90015105205038,0.527628173870919,11.1824033367366,4.97248443811502e-29,4.04191949326778e-27,"Up"
"hsa-miR-1246",915.638464894125,4.87798386168533,0.438588879133622,11.1219962332861,9.80531429331583e-29,6.97402979112088e-27,"Up"
"hsa-miR-769-3p",75.9961665119089,1.36961582175695,0.125684150765053,10.897283495333,1.18749751606808e-27,7.50762318491931e-26,"Up"
"hsa-miR-222-3p",4932.05761295541,1.56272959383706,0.144055689823345,10.8480935099018,2.03628332820756e-27,1.15762794494008e-25,"Up"
"hsa-miR-196b-5p",989.221032456658,3.58128346006909,0.33039324193403,10.8394573663349,2.23794506051685e-27,1.15762794494008e-25,"Up"
"hsa-miR-139-3p",315.519812551425,-1.99786502921668,0.187159813116945,-10.6746474894604,1.33764256156897e-26,6.34265514610618e-25,"Down"
"hsa-miR-589-5p",369.060985892572,1.45098674823141,0.136779467325302,10.6082204924847,2.72896912196311e-26,1.19444879261308e-24,"Up"
"hsa-miR-18a-5p",585.158181624715,1.81642596017985,0.171443239282906,10.5949115741011,3.14638215773436e-26,1.27877960553632e-24,"Up"
"hsa-miR-93-5p",13678.5891994704,1.29076964058083,0.122470369035827,10.5394443630951,5.68336859982573e-26,2.15589115553389e-24,"Up"
"hsa-miR-760",19.4672941892448,2.26108683836524,0.216434770297969,10.4469667015719,1.51286624147207e-25,5.38013057123507e-24,"Up"
"hsa-miR-182-5p",17320.7993436866,2.6710652069068,0.260741359213201,10.2441178298942,1.25766909200948e-24,4.20949243149056e-23,"Up"
"hsa-miR-877-5p",97.708501010201,1.91311989336549,0.186896136521237,10.236273092505,1.36389399270583e-24,4.31142045472009e-23,"Up"
"hsa-miR-135a-5p",1221.73023102359,3.16412613433601,0.310611620949198,10.1867603171663,2.27209944290812e-24,6.80433991060379e-23,"Up"
"hsa-miR-34c-5p",62.5720663776355,3.08252325161661,0.302867188878203,10.1778052057539,2.49116637452592e-24,7.08736833552625e-23,"Up"
"hsa-miR-5010-3p",25.1198850658744,1.58335818028388,0.156852716090846,10.0945537938076,5.83960407536704e-24,1.58225462803993e-22,"Up"
