"miRNA","log2FoldChange","padj","regulation","ualcan_id"
"hsa-miR-301a-3p",1.79261333702565,3.08230069714338e-32,"Up","hsa-mir-301a"
"hsa-miR-421",1.76518809628751,2.46935474320536e-31,"Up","hsa-mir-421"
"hsa-miR-3200-3p",3.03674052326804,1.43041529049453e-29,"Up","hsa-mir-3200"
"hsa-miR-183-5p",2.9430815392838,1.61989069617631e-29,"Up","hsa-mir-183"
"hsa-miR-501-5p",2.14154710536495,1.2111188121154e-27,"Up","hsa-mir-501"
"hsa-miR-139-5p",-2.19653480857282,7.28100421474968e-30,"Down","hsa-mir-139"
"hsa-miR-139-3p",-1.99786502921668,6.34265514610618e-25,"Down","hsa-mir-139"
"hsa-miR-490-3p",-2.96789808298482,1.27635820633884e-21,"Down","hsa-mir-490"
"hsa-miR-490-5p",-3.24287877699709,8.12800942469992e-19,"Down","hsa-mir-490"
"hsa-miR-99a-3p",-1.54816954567608,1.08263993494783e-15,"Down","hsa-mir-99a"
