"sample_id","condition","batch"
"GSM7099488","Tumor","GSE227378"
"GSM7099489","Normal","GSE227378"
"GSM7099490","Tumor","GSE227378"
"GSM7099491","Normal","GSE227378"
"GSM7099492","Tumor","GSE227378"
"GSM7099493","Normal","GSE227378"
"GSM7099494","Tumor","GSE227378"
"GSM7099495","Normal","GSE227378"
"GSM7099496","Tumor","GSE227378"
"GSM7099497","Normal","GSE227378"
"GSM7099498","Tumor","GSE227378"
"GSM7099499","Normal","GSE227378"
"GSM7099500","Tumor","GSE227378"
"GSM7099501","Normal","GSE227378"
"GSM7099502","Tumor","GSE227378"
"GSM7099503","Normal","GSE227378"
"GSM7099504","Tumor","GSE227378"
"GSM7099505","Normal","GSE227378"
"GSM7099506","Tumor","GSE227378"
"GSM7099507","Normal","GSE227378"
"GSM7099508","Tumor","GSE227378"
"GSM7099509","Normal","GSE227378"
"GSM7099510","Tumor","GSE227378"
"GSM7099511","Normal","GSE227378"
"GSM7099512","Tumor","GSE227378"
"GSM7099513","Normal","GSE227378"
"GSM7099514","Tumor","GSE227378"
"GSM7099515","Normal","GSE227378"
"GSM7099516","Tumor","GSE227378"
"GSM7099517","Normal","GSE227378"
"GSM7099518","Tumor","GSE227378"
"GSM7099519","Normal","GSE227378"
"GSM7099520","Tumor","GSE227378"
"GSM7099521","Normal","GSE227378"
"GSM7099522","Tumor","GSE227378"
"GSM7099523","Normal","GSE227378"
"GSM7099524","Tumor","GSE227378"
"GSM7099525","Normal","GSE227378"
"GSM7099526","Tumor","GSE227378"
"GSM7099527","Normal","GSE227378"
"GSM7099528","Tumor","GSE227378"
"GSM7099529","Normal","GSE227378"
"GSM7099530","Tumor","GSE227378"
"GSM7099531","Normal","GSE227378"
"GSM7099532","Tumor","GSE227378"
"GSM7099533","Normal","GSE227378"
"GSM7099534","Tumor","GSE227378"
"GSM7099535","Normal","GSE227378"
"GSM7099536","Tumor","GSE227378"
"GSM7099537","Normal","GSE227378"
"GSM7099538","Tumor","GSE227378"
"GSM7099539","Normal","GSE227378"
"GSM7099540","Tumor","GSE227378"
"GSM7099541","Normal","GSE227378"
"GSM7099542","Tumor","GSE227378"
"GSM7099543","Normal","GSE227378"
"GSM7099544","Tumor","GSE227378"
"GSM7099545","Normal","GSE227378"
"GSM7099546","Tumor","GSE227378"
"GSM7099547","Normal","GSE227378"
"GSM7099548","Tumor","GSE227378"
"GSM7099549","Normal","GSE227378"
"GSM7099550","Tumor","GSE227378"
"GSM7099551","Normal","GSE227378"
"GSM2040356","Normal","GSE76903"
"GSM2040357","Normal","GSE76903"
"GSM2040358","Normal","GSE76903"
"GSM2040359","Normal","GSE76903"
"GSM2040360","Normal","GSE76903"
"GSM2040361","Normal","GSE76903"
"GSM2040362","Normal","GSE76903"
"GSM2040363","Normal","GSE76903"
"GSM2040364","Normal","GSE76903"
"GSM2040365","Normal","GSE76903"
"GSM2040366","Normal","GSE76903"
"GSM2040367","Normal","GSE76903"
"GSM2040368","Normal","GSE76903"
"GSM2040369","Normal","GSE76903"
"GSM2040370","Normal","GSE76903"
"GSM2040371","Normal","GSE76903"
"GSM2040372","Normal","GSE76903"
"GSM2040373","Normal","GSE76903"
"GSM2040374","Normal","GSE76903"
"GSM2040375","Normal","GSE76903"
"GSM2040376","Tumor","GSE76903"
"GSM2040377","Tumor","GSE76903"
"GSM2040378","Tumor","GSE76903"
"GSM2040379","Tumor","GSE76903"
"GSM2040380","Tumor","GSE76903"
"GSM2040381","Tumor","GSE76903"
"GSM2040382","Tumor","GSE76903"
"GSM2040383","Tumor","GSE76903"
"GSM2040384","Tumor","GSE76903"
"GSM2040385","Tumor","GSE76903"
"GSM2040386","Tumor","GSE76903"
"GSM2040387","Tumor","GSE76903"
"GSM2040388","Tumor","GSE76903"
"GSM2040389","Tumor","GSE76903"
"GSM2040390","Tumor","GSE76903"
"GSM2040391","Tumor","GSE76903"
"GSM2040392","Tumor","GSE76903"
"GSM2040393","Tumor","GSE76903"
"GSM2040394","Tumor","GSE76903"
"GSM2040395","Tumor","GSE76903"
