"sampleid","patientid","condition","dataset","platform","batch"
"GSM2040360","10","Normal","GSE76903","Illumina","Batch2"
"GSM2040361","11","Normal","GSE76903","Illumina","Batch2"
"GSM2040362","12","Normal","GSE76903","Illumina","Batch2"
"GSM2040363","13","Normal","GSE76903","Illumina","Batch2"
"GSM2040364","14","Normal","GSE76903","Illumina","Batch2"
"GSM2040365","15","Normal","GSE76903","Illumina","Batch2"
"GSM2040366","16","Normal","GSE76903","Illumina","Batch2"
"GSM2040367","17","Normal","GSE76903","Illumina","Batch2"
"GSM2040368","18","Normal","GSE76903","Illumina","Batch2"
"GSM2040369","19","Normal","GSE76903","Illumina","Batch2"
"GSM2040370","20","Normal","GSE76903","Illumina","Batch2"
"GSM2040371","21","Normal","GSE76903","Illumina","Batch2"
"GSM2040372","22","Normal","GSE76903","Illumina","Batch2"
"GSM2040373","24","Normal","GSE76903","Illumina","Batch2"
"GSM2040374","25","Normal","GSE76903","Illumina","Batch2"
"GSM2040375","26","Normal","GSE76903","Illumina","Batch2"
"GSM2040356","3","Normal","GSE76903","Illumina","Batch2"
"GSM2040357","6","Normal","GSE76903","Illumina","Batch2"
"GSM2040358","7","Normal","GSE76903","Illumina","Batch2"
"GSM2040359","8","Normal","GSE76903","Illumina","Batch2"
"GSM2040380","10","Tumor","GSE76903","Illumina","Batch2"
"GSM2040381","11","Tumor","GSE76903","Illumina","Batch2"
"GSM2040382","12","Tumor","GSE76903","Illumina","Batch2"
"GSM2040383","13","Tumor","GSE76903","Illumina","Batch2"
"GSM2040384","14","Tumor","GSE76903","Illumina","Batch2"
"GSM2040385","15","Tumor","GSE76903","Illumina","Batch2"
"GSM2040386","16","Tumor","GSE76903","Illumina","Batch2"
"GSM2040387","17","Tumor","GSE76903","Illumina","Batch2"
"GSM2040388","18","Tumor","GSE76903","Illumina","Batch2"
"GSM2040389","19","Tumor","GSE76903","Illumina","Batch2"
"GSM2040390","20","Tumor","GSE76903","Illumina","Batch2"
"GSM2040391","21","Tumor","GSE76903","Illumina","Batch2"
"GSM2040392","22","Tumor","GSE76903","Illumina","Batch2"
"GSM2040393","24","Tumor","GSE76903","Illumina","Batch2"
"GSM2040394","25","Tumor","GSE76903","Illumina","Batch2"
"GSM2040395","26","Tumor","GSE76903","Illumina","Batch2"
"GSM2040376","3","Tumor","GSE76903","Illumina","Batch2"
"GSM2040377","6","Tumor","GSE76903","Illumina","Batch2"
"GSM2040378","7","Tumor","GSE76903","Illumina","Batch2"
"GSM2040379","8","Tumor","GSE76903","Illumina","Batch2"
