"target_symbol","n_mirnas"
"ARL8B",10
"IGF1R",10
"LMNB2",10
"CDK6",9
"CCND1",8
"RAP1B",8
"VEGFA",8
"BCL2",7
"BCL2L11",7
"CRK",7
"FGF2",7
"KRAS",7
"MAPK1",7
"NUFIP2",7
"PPARGC1B",7
"REST",7
"TAOK1",7
"UBN2",7
"CCND2",6
"DPY19L3",6
"E2F3",6
"FOXK1",6
"FZD6",6
"GNAL",6
"HMGA2",6
"HSPE1-MOB4",6
"IGDCC3",6
"ITGA3",6
"KCNJ6",6
"LRIG2",6
"MOB4",6
"NACC1",6
"ORAI2",6
"SOX9",6
"TGFB2",6
"TNRC6B",6
"TXNL1",6
"ZNF609",6
"ABL2",5
"ACTC1",5
"APP",5
"BZW1",5
"CCDC80",5
"CDC25A",5
"CDK17",5
"CDKN1A",5
"CELF4",5
"CRKL",5
"CUL3",5
"DDX3X",5
"ETNK1",5
"FBXL20",5
"GPRC5A",5
"HIPK3",5
"HMGA1",5
"IGF1",5
"MECP2",5
"MTMR3",5
"MYRF",5
"NAP1L1",5
"NCKAP1",5
"NOTCH1",5
"PCGF3",5
"PDE4D",5
"PPP1R15B",5
"PRKAA1",5
"RIF1",5
"SGPL1",5
"SMAD3",5
"SOCS5",5
"TSC22D2",5
"UBE2V1",5
"WTAP",5
"ABHD18",4
"ABI2",4
"ACER2",4
"ADGRL1",4
"AMOTL1",4
"ANKRD33B",4
"ATG9A",4
"BAG4",4
"BCL2L2",4
"BTG2",4
"CALU",4
"CBX4",4
"CCNE1",4
"CEP120",4
"CEP55",4
"CMTM4",4
"CMTM6",4
"CREBRF",4
"CUL2",4
"DCTN5",4
"DDX19B",4
"E2F7",4
"EFHD2",4
"EGFR",4
"EIF4G2",4
"EZH2",4
"GALNT1",4
"GIGYF1",4
"GXYLT1",4
"HIF1A",4
"HNRNPU",4
"HOXA10",4
"HSPA4L",4
"IPPK",4
"ITGB3",4
"KLF10",4
"KMT2A",4
"LAMC1",4
"LCOR",4
"LIFR",4
"LMBR1L",4
"MAP3K7",4
"MAPK8",4
"MKNK2",4
"MTDH",4
"MTOR",4
"MYO5A",4
"ORC4",4
"PAFAH1B2",4
"PAK4",4
"PHLPP2",4
"PIK3CD",4
"PIM1",4
"PLAG1",4
"PLEKHA1",4
"PLEKHA3",4
"PTBP1",4
"QKI",4
"RAB15",4
"RAB3IP",4
"RAD23B",4
"RAP2C",4
"RASSF2",4
"RBPJ",4
"SEC24A",4
"SERBP1",4
"SLC11A2",4
"SLC38A2",4
"SLC7A11",4
"SMARCA5",4
"SMC1A",4
"SNAI1",4
"SP1",4
"TBPL1",4
"TGFBR1",4
"TGFBR3",4
"TMEM161B",4
"TNFSF9",4
"TOR1AIP2",4
"TRA2B",4
"TSPAN3",4
"TWF1",4
"YOD1",4
"YRDC",4
"YTHDC1",4
"ZBTB10",4
"ZBTB34",4
"ZBTB37",4
"ZMAT3",4
"ZNF367",4
"ZNF584",4
"ZNF704",4
"ZNRF1",4
