"target_symbol","n_mirnas"
"ZZZ3",70
"PTEN",31
"CCND1",30
"CDKN1A",26
"ZNF460",26
"NUFIP2",25
"TXNIP",25
"MAPK1",24
"XIAP",24
"KLHL15",22
"TNRC6B",22
"KRAS",21
"MDM2",21
"SMAD4",21
"YOD1",21
"AGO3",20
"TGFBR2",20
"BCL2L11",19
"GATA6",19
"HIF1A",19
"KMT2D",19
"MYLIP",19
"PLAGL2",19
"BCL2",18
"IGF1R",18
"PPP1R15B",18
"SOX4",18
"TAOK1",18
"ATXN1",17
"BRWD1",17
"CDK6",17
"E2F3",17
"FOXO1",17
"HSPA1B",17
"LDLR",17
"NUDT3",17
"PARP1",17
"RORA",17
"SKI",17
"SRSF2",17
"TNRC6A",17
"YIPF4",17
"ZNF264",17
"AGO2",16
"CDKN1B",16
"DICER1",16
"GID4",16
"GIGYF1",16
"GSK3B",16
"MBNL1",16
"NACC2",16
"RAB5B",16
"SOD2",16
"WEE1",16
"ZBTB18",16
"ZBTB7A",16
"ZNF107",16
"ATP6V0E1",15
"BMPR2",15
"CEMIP2",15
"CRK",15
"DNAJB9",15
"FOXK1",15
"GABPB1",15
"HOXA13",15
"HSPA4L",15
"KLF6",15
"LZIC",15
"MAP3K2",15
"MAVS",15
"MCC",15
"MDM4",15
"NFIB",15
"PARD6B",15
"RDH11",15
"SAMD8",15
"TMEM245",15
"TNFRSF10B",15
"WASL",15
"YY1",15
"ZBTB37",15
"AGO1",14
"CANX",14
"CNOT4",14
"DDI2",14
"DDX3X",14
"DYRK2",14
"FRS2",14
"HMGA2",14
"MAPKAPK5",14
"MKNK2",14
"MYO1F",14
"NR3C1",14
"PANK3",14
"POU2F1",14
"RACGAP1",14
"RCC2",14
"RREB1",14
"SIK1",14
"SKIL",14
"SON",14
"STAT3",14
"TCF7L2",14
"TMEM167A",14
"VAV3",14
"YWHAZ",14
"ZIC5",14
"ZMAT3",14
"ZNF652",14
"ZNF678",14
"AKAP11",13
"ANKRD52",13
"ARHGAP12",13
"CAPRIN1",13
"CCND2",13
"CYCS",13
"DYNC1LI2",13
"EIF4EBP2",13
"ENPP5",13
"FAXC",13
"FZD6",13
"GNPTAB",13
"HSPA8",13
"KLRD1",13
"MIDN",13
"NAA50",13
"NFIC",13
"NPTX1",13
"PAFAH1B2",13
"POTEM",13
"PTP4A1",13
"RAB11FIP1",13
"RB1",13
"RECK",13
"REST",13
"RLIM",13
"RNF11",13
"RPS6KA5",13
"SGTB",13
"SYNJ2BP",13
"TRIM37",13
"TXLNA",13
"UBN2",13
"ZNF805",13
"ABHD2",12
"AKR7A2",12
"ARHGAP1",12
"ARL6IP1",12
"ATF7IP",12
"BTG2",12
"CASTOR2",12
"CRCP",12
"CREB1",12
"CRY2",12
"CSDE1",12
"CSNK2A1",12
"EREG",12
"FAM217B",12
"FOXJ3",12
"FOXN2",12
"GLO1",12
"HMGA1",12
"ITGB1",12
"KLHDC10",12
"KREMEN1",12
"LAMC1",12
"LDHA",12
"MAP3K9",12
"MAP7",12
"MORF4L1",12
"NEMP1",12
"NIPA1",12
"PEG10",12
"PNRC1",12
"PPP6R3",12
"QKI",12
"RAB3IP",12
"RAP2C",12
"RPRD2",12
"RRAGD",12
"SATB2",12
"SESN3",12
"SHOC2",12
"SMAD5",12
"SMIM13",12
"SOCS5",12
"SP1",12
"SPRED1",12
"TP53INP1",12
"TSC22D2",12
"TSKU",12
"VEGFA",12
